	Importance	Name	Std
13	0.12703709460796087	Bio_14	0.1103533889376394
16	0.08203105476132229	Bio_17	0.09454563997321333
21	0.08179363053858082	Pigs	0.04596421750601074
2	0.0723918413519034	Bio_03	0.03800332190536062
14	0.06838831267439317	Bio_15	0.03355264796216721
17	0.0635196444153154	Bio_18	0.07111647335146394
3	0.05365747486912432	Bio_04	0.03275267374281637
10	0.042741343833090514	Bio_11	0.038086979436012906
12	0.03522358729423696	Bio_13	0.02047767048672149
0	0.035039911252616136	Bio_01	0.03359512097183405
1	0.03470731660885692	Bio_02	0.05627913030145923
11	0.03182052350950971	Bio_12	0.01691924387836562
18	0.03180142544466863	Bio_19	0.03709194647435181
22	0.029385174150027345	Rice	0.017031746045278493
6	0.02776561994424058	Bio_07	0.017599787034783335
5	0.026858730171678072	Bio_06	0.03051780953577502
15	0.022530693889033275	Bio_16	0.015528281966139933
20	0.02236634488478062	Elv	0.01499797734000843
19	0.018128517721776052	DG_000_014bt_dens	0.006300537522486511
9	0.01808787312144387	Bio_10	0.01710850358192345
4	0.017513345166917643	Bio_05	0.019077055653061465
8	0.01692657804980794	Bio_09	0.018075733585278888
7	0.014538824848608854	Bio_08	0.011707038417612399
25	0.01373378745035089	Pop_Count_WP_SEDAC_2015	0.005901788102838335
24	0.01155240918909073	VD	0.007137243013714241
23	0.0004589402506648524	UR	0.0006463692630007232
